,epoach,iteration,loss,rouge-1,rouge-2,rouge-l,rouge-avg
0,0,1,10.40162467956543,,,,
1,0,2,9.278244018554688,,,,
2,0,3,8.778310775756836,,,,
3,0,4,8.589075088500977,,,,
4,1,5,8.53128719329834,,,,
5,1,6,8.003198623657227,,,,
6,1,7,7.665743827819824,,,,
7,1,8,7.338851451873779,,,,
8,2,9,7.130612373352051,,,,
9,2,10,6.556337356567383,,,,
10,2,11,6.137636184692383,,,,
11,2,12,5.8193840980529785,,,,
12,3,13,5.3922224044799805,,,,
13,3,14,4.920595169067383,,,,
14,3,15,4.50944185256958,,,,
15,3,16,4.164871692657471,,,,
16,4,17,3.761545181274414,,,,
17,4,18,3.4811043739318848,,,,
18,4,19,3.2785801887512207,,,,
19,4,20,3.0793533325195312,0.22897912885522664,0.030757347866479927,0.20584648304089367,0.15519431992086674
